    Fx_top , Fy_top , mag_top , Fx_bottom , Fy_bottom , mag_bottom 
100, -24.318,  91438.6,  93675, -26.4604,  -91456.6,  93693.1
200, 115.666,  91065.5,  93301.5, 115.668,  -91091.3,  93327.7
300, -287.354,  92848.3,  95137.7, -287.833,  -92873.7,  95163.3
400, 223.523,  91279.8,  93528.8, 222.727,  -91300.8,  93550
500, 141.855,  91706.2,  93945.7, 139.084,  -91724.5,  93964.3
600, 68.9127,  91922.6,  94186.8, 68.0571,  -91948.3,  94212.7
700, -199.672,  91254.3,  93492.4, -201.978,  -91282.3,  93520.7
800, -97.3036,  90317.6,  92541.1, -98.9066,  -90340.3,  92564
900, 62.443,  91995.2,  94255.1, 60.4529,  -92012.9,  94273
1000, 28.9646,  91621.1,  93868.8, 27.0432,  -91645,  93892.9
1100, 87.9867,  91708.1,  93959, 85.2805,  -91735.7,  93986.9
1200, -131.139,  90909.3,  93139.4, -133.126,  -90929,  93159.3
1300, 95.0822,  91683,  93933.6, 92.8588,  -91706.2,  93957
1400, 29.3312,  91157.2,  93395.2, 27.3524,  -91180.6,  93418.8
1500, 93.4776,  91659.5,  93910.6, 91.1584,  -91684.4,  93935.8
1600, -19.5244,  91710.7,  93960.6, -21.8564,  -91733,  93983.2
1700, 56.5508,  90851.9,  93085, 54.7079,  -90874.1,  93107.4
1800, -26.8618,  91496.3,  93741.5, -28.6575,  -91519.6,  93765.1
1900, 102.398,  91307.6,  93551.9, 100.213,  -91332.6,  93577.3
2000, -9.54289,  91619.2,  93868.8, -11.466,  -91640.8,  93890.6
2100, -17.588,  91236.6,  93476.8, -19.5841,  -91258.9,  93499.4
2200, 64.5184,  91561,  93811, 62.4942,  -91584.2,  93834.5
2300, -41.1524,  91030.6,  93264.7, -43.1732,  -91053.6,  93288
2400, 103.781,  91770.1,  94024.2, 101.447,  -91792.7,  94047.1
2500, -32.2229,  91244,  93483.7, -34.139,  -91264.9,  93504.8
2600, 18.6662,  91501.3,  93748.2, 16.5315,  -91524.8,  93772
2700, 27.1202,  91423.9,  93669.3, 24.8924,  -91446.8,  93692.4
2800, 31.8371,  91161.3,  93399.9, 29.7759,  -91182.5,  93421.3
2900, 9.38077,  91674.3,  93924.3, 7.32877,  -91696.2,  93946.5
3000, 51.6922,  91193.6,  93433.8, 49.5829,  -91216.8,  93457.2
3100, -28.3866,  91496.1,  93742.6, -30.51,  -91518.4,  93765.1
3200, 53.6706,  91302.6,  93545.2, 51.4799,  -91324.3,  93567.1
3300, 35.7897,  91413.5,  93659, 33.8317,  -91434.9,  93680.6
3400, -14.4628,  91293.3,  93534, -16.4717,  -91316.4,  93557.4
3500, 72.0543,  91593.4,  93843.8, 69.7982,  -91616.3,  93867
3600, -28.7264,  91137.9,  93375.7, -30.681,  -91158.3,  93396.3
3700, 48.2619,  91545.2,  93793.2, 46.1804,  -91568,  93816.3
3800, 28.4533,  91346.8,  93590.7, 26.453,  -91369.6,  93613.7
3900, 5.59112,  91297.3,  93538.3, 3.47845,  -91319.4,  93560.7
4000, 25.6232,  91617.2,  93867.5, 23.3874,  -91638.8,  93889.3
4100, 29.6652,  91122.4,  93360.1, 27.6955,  -91144.4,  93382.3
4200, -9.81281,  91556.5,  93804.5, -11.863,  -91579.3,  93827.6
