    Fx_top , Fy_top , mag_top , Fx_bottom , Fy_bottom , mag_bottom 
100, 561.063,  76705.6,  78739.7, 553.095,  -76401.3,  78403.4
200, 280.571,  76116.8,  78102.2, 272.504,  -75841.4,  77795.7
300, -122.136,  74799.5,  76753.2, -123.047,  -74523,  76446
400, -23.9853,  73184.7,  75056.8, -32.5739,  -72950.7,  74794.1
500, 261.29,  75999.7,  77993.3, 255.313,  -75707.1,  77668.8
600, 127.26,  75718.4,  77689.6, 124.003,  -75438.8,  77378.7
700, -254.827,  76566,  78566.6, -252.916,  -76274.1,  78242.7
800, -20.3695,  78405.3,  80396, -23.4886,  -78163.4,  80123.4
900, 206.637,  76909.4,  78910.2, 200.648,  -76627.8,  78596.9
1000, 77.2706,  75300.1,  77270.8, 68.2254,  -75012.8,  76952.1
1100, 109.817,  75289.6,  77255.7, 109.489,  -75017.5,  76952.8
1200, -137.73,  73308.7,  75242.4, -143.607,  -73020.3,  74923.2
1300, 36.0836,  76049.8,  78009.9, 35.8274,  -75794.7,  77724.5
1400, 58.1675,  75038.9,  76999.7, 50.4699,  -74745.3,  76674.8
1500, -37.1453,  76026.5,  77995.6, -35.9216,  -75763.3,  77701.8
1600, 34.6117,  75495.1,  77462.6, 27.0368,  -75221.4,  77158
1700, -72.3913,  75280.7,  77234.6, -71.1319,  -75013.5,  76936.8
1800, 166.363,  74999.2,  76957, 159.595,  -74722.2,  76649
1900, -171.159,  74746.5,  76687, -170.84,  -74470.8,  76380.2
2000, 153.531,  74349.3,  76296.4, 145.717,  -74063.6,  75979.7
2100, -231.126,  74585.7,  76523.9, -234.583,  -74308.5,  76215.7
2200, 280.572,  75516,  77496.8, 270.741,  -75223.5,  77172.8
2300, -159.299,  75076.1,  77030.4, -162.088,  -74798.1,  76721.5
2400, 181.34,  75446,  77419.7, 177.915,  -75169.9,  77112.8
2500, -51.1153,  75116.1,  77074.1, -55.9765,  -74839.7,  76766.7
