    Fx_top , Fy_top , mag_top , Fx_bottom , Fy_bottom , mag_bottom 
8600, 346.693,  70584.2,  72425.9, 343.814,  -70611.1,  72453.1
8700, 346.855,  70584.6,  72426.4, 343.976,  -70611.6,  72453.6
8800, 346.708,  70584.4,  72426.1, 343.829,  -70611.3,  72453.3
8900, 346.833,  70584.4,  72426.2, 343.954,  -70611.4,  72453.4
9000, 346.736,  70584.5,  72426.3, 343.856,  -70611.5,  72453.4
9100, 346.802,  70584.3,  72426.1, 343.923,  -70611.3,  72453.2
9200, 346.766,  70584.6,  72426.4, 343.887,  -70611.6,  72453.5
9300, 346.774,  70584.3,  72426, 343.895,  -70611.2,  72453.2
9400, 346.79,  70584.6,  72426.4, 343.911,  -70611.6,  72453.6
9500, 346.755,  70584.3,  72426, 343.876,  -70611.2,  72453.2
9600, 346.804,  70584.6,  72426.4, 343.925,  -70611.6,  72453.5
9700, 346.746,  70584.3,  72426.1, 343.867,  -70611.3,  72453.2
9800, 346.807,  70584.5,  72426.3, 343.928,  -70611.5,  72453.5
9900, 346.748,  70584.4,  72426.1, 343.869,  -70611.3,  72453.3
10000, 346.802,  70584.5,  72426.2, 343.923,  -70611.4,  72453.4
10100, 346.756,  70584.4,  72426.2, 343.877,  -70611.4,  72453.4
10200, 346.792,  70584.4,  72426.2, 343.913,  -70611.4,  72453.3
10300, 346.767,  70584.5,  72426.2, 343.888,  -70611.4,  72453.4
10400, 346.781,  70584.4,  72426.1, 343.902,  -70611.3,  72453.3
10500, 346.777,  70584.5,  72426.3, 343.898,  -70611.5,  72453.4
10600, 346.772,  70584.4,  72426.1, 343.893,  -70611.3,  72453.3
10700, 346.784,  70584.5,  72426.3, 343.905,  -70611.5,  72453.4
10800, 346.767,  70584.4,  72426.1, 343.888,  -70611.3,  72453.3
10900, 346.787,  70584.5,  72426.3, 343.908,  -70611.4,  72453.4
11000, 346.766,  70584.4,  72426.2, 343.887,  -70611.4,  72453.3
11100, 346.787,  70584.5,  72426.2, 343.908,  -70611.4,  72453.4
11200, 346.767,  70584.4,  72426.2, 343.888,  -70611.4,  72453.4
11300, 346.785,  70584.4,  72426.2, 343.905,  -70611.4,  72453.4
11400, 346.771,  70584.4,  72426.2, 343.892,  -70611.4,  72453.4
11500, 346.781,  70584.4,  72426.2, 343.902,  -70611.4,  72453.4
11600, 346.775,  70584.5,  72426.2, 343.896,  -70611.4,  72453.4
11700, 346.777,  70584.4,  72426.2, 343.898,  -70611.4,  72453.3
11800, 346.778,  70584.5,  72426.2, 343.899,  -70611.4,  72453.4
11900, 346.774,  70584.4,  72426.2, 343.895,  -70611.4,  72453.3
12000, 346.78,  70584.5,  72426.2, 343.901,  -70611.4,  72453.4
12100, 346.773,  70584.4,  72426.2, 343.894,  -70611.4,  72453.3
12200, 346.781,  70584.5,  72426.2, 343.902,  -70611.4,  72453.4
12300, 346.773,  70584.4,  72426.2, 343.894,  -70611.4,  72453.4
12400, 346.78,  70584.4,  72426.2, 343.901,  -70611.4,  72453.4
12500, 346.774,  70584.4,  72426.2, 343.895,  -70611.4,  72453.4
12600, 346.779,  70584.4,  72426.2, 343.9,  -70611.4,  72453.4
12700, 346.775,  70584.4,  72426.2, 343.896,  -70611.4,  72453.4
12800, 346.778,  70584.4,  72426.2, 343.898,  -70611.4,  72453.4
12900, 346.777,  70584.4,  72426.2, 343.897,  -70611.4,  72453.4
13000, 346.776,  70584.4,  72426.2, 343.897,  -70611.4,  72453.4
13100, 346.778,  70584.4,  72426.2, 343.898,  -70611.4,  72453.4
13200, 346.776,  70584.4,  72426.2, 343.896,  -70611.4,  72453.4
13300, 346.778,  70584.4,  72426.2, 343.899,  -70611.4,  72453.4
13400, 346.775,  70584.4,  72426.2, 343.896,  -70611.4,  72453.4
13500, 346.778,  70584.4,  72426.2, 343.899,  -70611.4,  72453.4
13600, 346.775,  70584.4,  72426.2, 343.896,  -70611.4,  72453.4
13700, 346.778,  70584.4,  72426.2, 343.899,  -70611.4,  72453.4
13800, 346.776,  70584.4,  72426.2, 343.897,  -70611.4,  72453.4
13900, 346.777,  70584.4,  72426.2, 343.898,  -70611.4,  72453.4
14000, 346.776,  70584.4,  72426.2, 343.897,  -70611.4,  72453.4
14100, 346.777,  70584.4,  72426.2, 343.898,  -70611.4,  72453.4
14200, 346.777,  70584.4,  72426.2, 343.898,  -70611.4,  72453.4
14300, 346.776,  70584.4,  72426.2, 343.897,  -70611.4,  72453.4
14400, 346.777,  70584.4,  72426.2, 343.898,  -70611.4,  72453.4
14500, 346.776,  70584.4,  72426.2, 343.897,  -70611.4,  72453.4
14600, 346.777,  70584.4,  72426.2, 343.898,  -70611.4,  72453.4
14700, 346.776,  70584.4,  72426.2, 343.897,  -70611.4,  72453.4
14800, 346.777,  70584.4,  72426.2, 343.898,  -70611.4,  72453.4
14900, 346.776,  70584.4,  72426.2, 343.897,  -70611.4,  72453.4
15000, 346.777,  70584.4,  72426.2, 343.898,  -70611.4,  72453.4
15100, 346.776,  70584.4,  72426.2, 343.897,  -70611.4,  72453.4
15200, 346.777,  70584.4,  72426.2, 343.898,  -70611.4,  72453.4
15300, 346.777,  70584.4,  72426.2, 343.898,  -70611.4,  72453.4
15400, 346.777,  70584.4,  72426.2, 343.898,  -70611.4,  72453.4
15500, 346.777,  70584.4,  72426.2, 343.898,  -70611.4,  72453.4
15600, 346.777,  70584.4,  72426.2, 343.897,  -70611.4,  72453.4
15700, 346.777,  70584.4,  72426.2, 343.898,  -70611.4,  72453.4
15800, 346.777,  70584.4,  72426.2, 343.897,  -70611.4,  72453.4
15900, 346.777,  70584.4,  72426.2, 343.898,  -70611.4,  72453.4
16000, 346.777,  70584.4,  72426.2, 343.897,  -70611.4,  72453.4
16100, 346.777,  70584.4,  72426.2, 343.898,  -70611.4,  72453.4
16200, 346.777,  70584.4,  72426.2, 343.898,  -70611.4,  72453.4
16300, 346.777,  70584.4,  72426.2, 343.898,  -70611.4,  72453.4
16400, 346.777,  70584.4,  72426.2, 343.898,  -70611.4,  72453.4
16500, 346.777,  70584.4,  72426.2, 343.898,  -70611.4,  72453.4
16600, 346.777,  70584.4,  72426.2, 343.898,  -70611.4,  72453.4
16700, 346.777,  70584.4,  72426.2, 343.898,  -70611.4,  72453.4
16800, 346.777,  70584.4,  72426.2, 343.898,  -70611.4,  72453.4
16900, 346.777,  70584.4,  72426.2, 343.898,  -70611.4,  72453.4
17000, 346.777,  70584.4,  72426.2, 343.898,  -70611.4,  72453.4
17100, 346.777,  70584.4,  72426.2, 343.898,  -70611.4,  72453.4
17200, 346.777,  70584.4,  72426.2, 343.898,  -70611.4,  72453.4
17300, 346.777,  70584.4,  72426.2, 343.898,  -70611.4,  72453.4
17400, 346.777,  70584.4,  72426.2, 343.898,  -70611.4,  72453.4
17500, 346.777,  70584.4,  72426.2, 343.898,  -70611.4,  72453.4
17600, 346.777,  70584.4,  72426.2, 343.898,  -70611.4,  72453.4
17700, 346.777,  70584.4,  72426.2, 343.898,  -70611.4,  72453.4
17800, 346.777,  70584.4,  72426.2, 343.898,  -70611.4,  72453.4
17900, 346.777,  70584.4,  72426.2, 343.898,  -70611.4,  72453.4
18000, 346.777,  70584.4,  72426.2, 343.898,  -70611.4,  72453.4
18100, 346.777,  70584.4,  72426.2, 343.898,  -70611.4,  72453.4
18200, 346.777,  70584.4,  72426.2, 343.898,  -70611.4,  72453.4
18300, 346.777,  70584.4,  72426.2, 343.898,  -70611.4,  72453.4
18400, 346.777,  70584.4,  72426.2, 343.898,  -70611.4,  72453.4
18500, 346.777,  70584.4,  72426.2, 343.898,  -70611.4,  72453.4
18600, 346.777,  70584.4,  72426.2, 343.898,  -70611.4,  72453.4
18700, 346.777,  70584.4,  72426.2, 343.898,  -70611.4,  72453.4
18800, 346.777,  70584.4,  72426.2, 343.898,  -70611.4,  72453.4
18900, 346.777,  70584.4,  72426.2, 343.898,  -70611.4,  72453.4
19000, 346.777,  70584.4,  72426.2, 343.898,  -70611.4,  72453.4
19100, 346.777,  70584.4,  72426.2, 343.898,  -70611.4,  72453.4
19200, 346.777,  70584.4,  72426.2, 343.898,  -70611.4,  72453.4
19300, 346.777,  70584.4,  72426.2, 343.898,  -70611.4,  72453.4
19400, 346.777,  70584.4,  72426.2, 343.898,  -70611.4,  72453.4
19500, 346.777,  70584.4,  72426.2, 343.898,  -70611.4,  72453.4
19600, 346.777,  70584.4,  72426.2, 343.898,  -70611.4,  72453.4
19700, 346.777,  70584.4,  72426.2, 343.898,  -70611.4,  72453.4
