    Fx_top , Fy_top , mag_top , Fx_bottom , Fy_bottom , mag_bottom 
100, 3338.54,  58211.6,  59773.1, 3330.61,  -58238.3,  59800.6
200, 3924.26,  54690.7,  56141.4, 3906.83,  -54744.2,  56196.8
300, 3302.76,  52013,  53421.4, 3290.43,  -52051.9,  53461.7
400, 2902.65,  53727.1,  55203.3, 2894.66,  -53748.7,  55225.4
500, 2303.71,  56633.7,  58220.2, 2293.87,  -56670.8,  58258
600, 2338.27,  56994.3,  58597.3, 2327.73,  -57029.7,  58633.3
700, 2552.18,  56008.1,  57567, 2542.37,  -56046.4,  57606
800, 2479.04,  55441.7,  56982.9, 2468.31,  -55482.5,  57024.5
900, 2591.95,  55018.2,  56549, 2580.82,  -55062,  56593.6
1000, 2598.67,  55637.5,  57190, 2586.67,  -55684.8,  57238.2
1100, 2545.21,  55840.8,  57396, 2533.56,  -55884.2,  57440.2
1200, 2506.79,  55518.3,  57063.3, 2495.15,  -55562.7,  57108.6
1300, 2534.62,  55455,  57001.9, 2523.07,  -55498.5,  57046.2
1400, 2591.03,  55596,  57144.4, 2579,  -55641.4,  57190.7
1500, 2498.79,  55751,  57305, 2487.59,  -55793.7,  57348.5
1600, 2547.15,  55395.9,  56938.3, 2535.47,  -55440.1,  56983.2
1700, 2550.97,  55579.2,  57129.2, 2539.14,  -55624.7,  57175.5
1800, 2567.51,  55643.8,  57193.3, 2555.84,  -55688.4,  57238.8
1900, 2507.85,  55632.3,  57182.2, 2496.3,  -55676.4,  57227.1
2000, 2547.77,  55439.9,  56984.6, 2536.21,  -55484.7,  57030.3
2100, 2559.92,  55599.1,  57148.7, 2548.25,  -55644,  57194.5
2200, 2541.79,  55657,  57207.5, 2530.23,  -55701.8,  57253.1
2300, 2529.43,  55545.2,  57092.4, 2517.77,  -55590.1,  57138.1
2400, 2545.12,  55521.3,  57068.9, 2533.61,  -55566.1,  57114.6
2500, 2559.84,  55598.8,  57147.7, 2548.17,  -55644,  57193.7
2600, 2528.91,  55637.6,  57187.9, 2517.37,  -55682.2,  57233.3
2700, 2542.38,  55509.6,  57055.9, 2530.82,  -55554.5,  57101.7
2800, 2545.97,  55571.5,  57120.3, 2534.43,  -55616.3,  57166
2900, 2552.5,  55602.3,  57151.2, 2540.88,  -55647.4,  57197.1
3000, 2530.58,  55598.3,  57147.4, 2519.03,  -55642.9,  57192.9
3100, 2545.11,  55523.4,  57070.4, 2533.6,  -55568.1,  57116
3200, 2548.72,  55586.5,  57135.4, 2537.12,  -55631.5,  57181.3
3300, 2543.38,  55604.3,  57153.4, 2531.8,  -55649.1,  57199.1
3400, 2537.26,  55564.3,  57112.4, 2525.67,  -55609.2,  57158.1
3500, 2544.73,  55552.3,  57100.3, 2533.17,  -55597.1,  57145.9
3600, 2549.16,  55587.7,  57136.4, 2537.53,  -55632.7,  57182.3
3700, 2538.4,  55597,  57146.1, 2526.83,  -55641.7,  57191.6
3800, 2542.21,  55550.8,  57098.5, 2530.62,  -55595.6,  57144.2
3900, 2544.81,  55572.6,  57121.2, 2533.22,  -55617.4,  57166.9
4000, 2546.69,  55587,  57135.6, 2535.07,  -55631.8,  57181.4
4100, 2538.41,  55583.2,  57131.9, 2526.81,  -55627.9,  57177.5
4200, 2544.04,  55555.1,  57103, 2532.44,  -55599.9,  57148.7
4300, 2545.38,  55580.3,  57129, 2533.76,  -55625.2,  57174.7
4400, 2543.43,  55585.8,  57134.5, 2531.82,  -55630.6,  57180.2
4500, 2540.7,  55571.2,  57119.5, 2529.09,  -55616,  57165.1
4600, 2544.21,  55565.7,  57114, 2532.59,  -55610.6,  57159.7
4700, 2545.35,  55581.1,  57129.7, 2533.72,  -55626,  57175.5
4800, 2541.55,  55582.6,  57131.3, 2529.94,  -55627.4,  57176.9
4900, 2542.72,  55566.1,  57114.3, 2531.1,  -55611,  57160
5000, 2544.1,  55573.9,  57122.4, 2532.49,  -55618.7,  57168.1
5100, 2544.46,  55580.2,  57128.8, 2532.84,  -55625.1,  57174.5
5200, 2541.44,  55577.8,  57126.3, 2529.83,  -55622.6,  57172
5300, 2543.62,  55567.5,  57115.7, 2532.01,  -55612.3,  57161.4
5400, 2544.11,  55577.4,  57125.9, 2532.49,  -55622.2,  57171.6
5500, 2543.34,  55579.1,  57127.7, 2531.73,  -55624,  57173.4
5600, 2542.24,  55573.6,  57122, 2530.63,  -55618.5,  57167.7
5700, 2543.76,  55571.4,  57119.7, 2532.15,  -55616.2,  57165.4
5800, 2544,  55577.8,  57126.3, 2532.38,  -55622.7,  57172
5900, 2542.67,  55577.7,  57126.2, 2531.06,  -55622.5,  57171.9
6000, 2543.03,  55571.8,  57120.2, 2531.42,  -55616.7,  57165.9
6100, 2543.68,  55574.6,  57123, 2532.07,  -55619.4,  57168.7
6200, 2543.68,  55577.3,  57125.8, 2532.07,  -55622.1,  57171.5
6300, 2542.6,  55576,  57124.4, 2530.99,  -55620.8,  57170.1
6400, 2543.43,  55572.3,  57120.6, 2531.81,  -55617.1,  57166.3
6500, 2543.61,  55576.1,  57124.5, 2532,  -55620.9,  57170.2
6600, 2543.31,  55576.7,  57125.1, 2531.69,  -55621.5,  57170.8
6700, 2542.88,  55574.5,  57123, 2531.27,  -55619.4,  57168.7
6800, 2543.51,  55573.7,  57122.1, 2531.89,  -55618.5,  57167.8
6900, 2543.54,  55576.3,  57124.8, 2531.93,  -55621.1,  57170.5
7000, 2543.07,  55576,  57124.5, 2531.46,  -55620.9,  57170.2
7100, 2543.18,  55573.9,  57122.3, 2531.57,  -55618.8,  57168
7200, 2543.47,  55574.9,  57123.3, 2531.86,  -55619.7,  57169.1
7300, 2543.42,  55576,  57124.5, 2531.81,  -55620.9,  57170.2
7400, 2543.04,  55575.4,  57123.9, 2531.43,  -55620.2,  57169.6
7500, 2543.35,  55574.1,  57122.5, 2531.73,  -55618.9,  57168.2
7600, 2543.42,  55575.5,  57124, 2531.81,  -55620.4,  57169.7
7700, 2543.3,  55575.7,  57124.2, 2531.68,  -55620.6,  57169.9
7800, 2543.14,  55574.9,  57123.3, 2531.53,  -55619.7,  57169
7900, 2543.39,  55574.6,  57123, 2531.78,  -55619.4,  57168.7
8000, 2543.38,  55575.6,  57124.1, 2531.77,  -55620.5,  57169.8
8100, 2543.22,  55575.5,  57123.9, 2531.6,  -55620.3,  57169.6
8200, 2543.25,  55574.7,  57123.1, 2531.64,  -55619.5,  57168.8
8300, 2543.37,  55575,  57123.5, 2531.76,  -55619.9,  57169.2
8400, 2543.34,  55575.5,  57124, 2531.73,  -55620.4,  57169.7
8500, 2543.2,  55575.2,  57123.7, 2531.59,  -55620.1,  57169.4
8600, 2543.32,  55574.7,  57123.2, 2531.7,  -55619.6,  57168.9
8700, 2543.35,  55575.3,  57123.8, 2531.74,  -55620.1,  57169.5
8800, 2543.3,  55575.4,  57123.8, 2531.68,  -55620.2,  57169.5
8900, 2543.24,  55575,  57123.5, 2531.62,  -55619.9,  57169.2
9000, 2543.34,  55574.9,  57123.4, 2531.72,  -55619.8,  57169.1
9100, 2543.33,  55575.3,  57123.8, 2531.72,  -55620.2,  57169.5
9200, 2543.27,  55575.3,  57123.7, 2531.66,  -55620.1,  57169.4
9300, 2543.28,  55575,  57123.4, 2531.67,  -55619.8,  57169.1
9400, 2543.33,  55575.1,  57123.6, 2531.72,  -55620,  57169.3
9500, 2543.31,  55575.3,  57123.8, 2531.7,  -55620.1,  57169.5
9600, 2543.26,  55575.2,  57123.6, 2531.65,  -55620,  57169.3
9700, 2543.31,  55575,  57123.4, 2531.69,  -55619.8,  57169.2
9800, 2543.32,  55575.2,  57123.7, 2531.71,  -55620.1,  57169.4
9900, 2543.3,  55575.2,  57123.7, 2531.68,  -55620.1,  57169.4
10000, 2543.28,  55575.1,  57123.6, 2531.66,  -55620,  57169.3
10100, 2543.31,  55575.1,  57123.5, 2531.7,  -55619.9,  57169.2
10200, 2543.31,  55575.2,  57123.7, 2531.7,  -55620.1,  57169.4
10300, 2543.29,  55575.2,  57123.6, 2531.67,  -55620,  57169.3
10400, 2543.29,  55575.1,  57123.5, 2531.68,  -55619.9,  57169.2
10500, 2543.31,  55575.1,  57123.6, 2531.7,  -55620,  57169.3
10600, 2543.3,  55575.2,  57123.7, 2531.69,  -55620.1,  57169.4
10700, 2543.29,  55575.2,  57123.6, 2531.67,  -55620,  57169.3
10800, 2543.3,  55575.1,  57123.5, 2531.69,  -55619.9,  57169.3
10900, 2543.31,  55575.2,  57123.6, 2531.7,  -55620,  57169.3
11000, 2543.3,  55575.2,  57123.6, 2531.69,  -55620,  57169.3
11100, 2543.29,  55575.1,  57123.6, 2531.68,  -55620,  57169.3
11200, 2543.3,  55575.1,  57123.6, 2531.69,  -55620,  57169.3
11300, 2543.3,  55575.2,  57123.6, 2531.69,  -55620,  57169.3
11400, 2543.29,  55575.2,  57123.6, 2531.68,  -55620,  57169.3
11500, 2543.3,  55575.1,  57123.6, 2531.68,  -55620,  57169.3
11600, 2543.3,  55575.2,  57123.6, 2531.69,  -55620,  57169.3
11700, 2543.3,  55575.2,  57123.6, 2531.69,  -55620,  57169.3
11800, 2543.29,  55575.2,  57123.6, 2531.68,  -55620,  57169.3
11900, 2543.3,  55575.1,  57123.6, 2531.69,  -55620,  57169.3
12000, 2543.3,  55575.2,  57123.6, 2531.69,  -55620,  57169.3
12100, 2543.3,  55575.2,  57123.6, 2531.69,  -55620,  57169.3
12200, 2543.3,  55575.1,  57123.6, 2531.68,  -55620,  57169.3
12300, 2543.3,  55575.1,  57123.6, 2531.69,  -55620,  57169.3
12400, 2543.3,  55575.2,  57123.6, 2531.69,  -55620,  57169.3
12500, 2543.3,  55575.2,  57123.6, 2531.69,  -55620,  57169.3
12600, 2543.3,  55575.1,  57123.6, 2531.69,  -55620,  57169.3
12700, 2543.3,  55575.2,  57123.6, 2531.69,  -55620,  57169.3
12800, 2543.3,  55575.2,  57123.6, 2531.69,  -55620,  57169.3
12900, 2543.3,  55575.2,  57123.6, 2531.69,  -55620,  57169.3
13000, 2543.3,  55575.1,  57123.6, 2531.69,  -55620,  57169.3
13100, 2543.3,  55575.2,  57123.6, 2531.69,  -55620,  57169.3
13200, 2543.3,  55575.2,  57123.6, 2531.69,  -55620,  57169.3
