    Fx_top , Fy_top , mag_top , Fx_bottom , Fy_bottom , mag_bottom 
8500, 163.311,  91958.3,  94170.9, 133.972,  -91676.5,  93790.9
8600, 163.294,  91958,  94170.6, 133.987,  -91676.8,  93791.2
8700, 163.317,  91958.1,  94170.7, 133.966,  -91676.7,  93791.2
8800, 163.298,  91958.3,  94170.9, 133.984,  -91676.5,  93791
8900, 163.306,  91957.9,  94170.5, 133.977,  -91676.9,  93791.3
9000, 163.312,  91958.3,  94170.8, 133.971,  -91676.5,  93791
9100, 163.296,  91958.1,  94170.7, 133.986,  -91676.7,  93791.2
9200, 163.315,  91958,  94170.6, 133.968,  -91676.8,  93791.2
9300, 163.301,  91958.3,  94170.9, 133.981,  -91676.5,  93791
9400, 163.303,  91958,  94170.6, 133.979,  -91676.8,  93791.3
9500, 163.313,  91958.2,  94170.8, 133.97,  -91676.6,  93791.1
9600, 163.297,  91958.2,  94170.7, 133.985,  -91676.7,  93791.1
9700, 163.312,  91958,  94170.6, 133.971,  -91676.8,  93791.2
9800, 163.305,  91958.3,  94170.8, 133.978,  -91676.5,  93791
9900, 163.301,  91958,  94170.6, 133.981,  -91676.8,  93791.2
10000, 163.313,  91958.2,  94170.7, 133.97,  -91676.6,  93791.1
10100, 163.299,  91958.2,  94170.8, 133.983,  -91676.6,  93791.1
10200, 163.309,  91958,  94170.6, 133.974,  -91676.8,  93791.2
10300, 163.307,  91958.2,  94170.8, 133.975,  -91676.6,  93791
10400, 163.301,  91958.1,  94170.6, 133.981,  -91676.7,  93791.2
10500, 163.312,  91958.1,  94170.7, 133.971,  -91676.7,  93791.1
10600, 163.301,  91958.2,  94170.8, 133.981,  -91676.6,  93791.1
10700, 163.307,  91958,  94170.6, 133.976,  -91676.8,  93791.2
10800, 163.308,  91958.2,  94170.8, 133.975,  -91676.6,  93791.1
10900, 163.301,  91958.1,  94170.7, 133.981,  -91676.7,  93791.2
11000, 163.311,  91958.1,  94170.7, 133.972,  -91676.7,  93791.2
11100, 163.303,  91958.2,  94170.8, 133.979,  -91676.6,  93791.1
11200, 163.305,  91958.1,  94170.6, 133.977,  -91676.7,  93791.2
11300, 163.309,  91958.2,  94170.7, 133.974,  -91676.6,  93791.1
11400, 163.301,  91958.1,  94170.7, 133.981,  -91676.7,  93791.1
11500, 163.309,  91958.1,  94170.7, 133.974,  -91676.7,  93791.2
11600, 163.305,  91958.2,  94170.8, 133.978,  -91676.6,  93791.1
11700, 163.304,  91958.1,  94170.6, 133.978,  -91676.7,  93791.2
11800, 163.309,  91958.1,  94170.7, 133.974,  -91676.7,  93791.1
11900, 163.302,  91958.1,  94170.7, 133.98,  -91676.7,  93791.1
12000, 163.308,  91958.1,  94170.7, 133.975,  -91676.7,  93791.2
12100, 163.306,  91958.2,  94170.8, 133.977,  -91676.6,  93791.1
12200, 163.304,  91958.1,  94170.7, 133.979,  -91676.7,  93791.2
12300, 163.309,  91958.1,  94170.7, 133.974,  -91676.7,  93791.1
12400, 163.303,  91958.2,  94170.7, 133.979,  -91676.6,  93791.1
12500, 163.307,  91958.1,  94170.7, 133.976,  -91676.7,  93791.2
12600, 163.307,  91958.2,  94170.7, 133.976,  -91676.6,  93791.1
12700, 163.303,  91958.1,  94170.7, 133.979,  -91676.7,  93791.1
12800, 163.308,  91958.1,  94170.7, 133.975,  -91676.7,  93791.1
12900, 163.304,  91958.2,  94170.7, 133.978,  -91676.6,  93791.1
13000, 163.306,  91958.1,  94170.7, 133.977,  -91676.7,  93791.2
13100, 163.307,  91958.2,  94170.7, 133.976,  -91676.6,  93791.1
13200, 163.304,  91958.1,  94170.7, 133.979,  -91676.7,  93791.1
13300, 163.308,  91958.1,  94170.7, 133.975,  -91676.7,  93791.1
13400, 163.305,  91958.2,  94170.7, 133.978,  -91676.6,  93791.1
13500, 163.305,  91958.1,  94170.7, 133.977,  -91676.7,  93791.2
13600, 163.307,  91958.1,  94170.7, 133.975,  -91676.7,  93791.1
13700, 163.304,  91958.1,  94170.7, 133.978,  -91676.7,  93791.1
13800, 163.307,  91958.1,  94170.7, 133.976,  -91676.7,  93791.1
13900, 163.306,  91958.2,  94170.7, 133.977,  -91676.6,  93791.1
14000, 163.305,  91958.1,  94170.7, 133.978,  -91676.7,  93791.1
14100, 163.307,  91958.1,  94170.7, 133.976,  -91676.7,  93791.1
14200, 163.304,  91958.1,  94170.7, 133.978,  -91676.7,  93791.1
14300, 163.306,  91958.1,  94170.7, 133.976,  -91676.7,  93791.1
