    Fx_top , Fy_top , mag_top , Fx_bottom , Fy_bottom , mag_bottom 
100, 467.855,  90649.2,  92840.4, 468.101,  -90648.3,  92839.5
200, 110.183,  90457.8,  92647.5, 110.349,  -90458.2,  92647.9
300, 248.021,  90080.9,  92268.9, 248.168,  -90081.4,  92269.3
400, 134.036,  89004.1,  91167.1, 134.158,  -89004.9,  91168
500, 139.04,  88899.9,  91060.3, 139.33,  -88900,  91060.4
600, 142.181,  88588.4,  90741.3, 142.385,  -88588.7,  90741.6
700, 177.255,  88422.4,  90574.1, 177.554,  -88422.8,  90574.5
800, 189.024,  88675.3,  90835.5, 189.219,  -88676,  90836.2
900, 176.241,  88380.2,  90532.8, 176.466,  -88380.7,  90533.3
1000, 176.849,  88505.3,  90660.9, 177.11,  -88505.8,  90661.4
1100, 158.987,  88248,  90396.9, 159.274,  -88248.6,  90397.5
1200, 178.352,  88476,  90631.8, 178.548,  -88476.4,  90632.2
1300, 166.164,  88310.1,  90461.1, 166.394,  -88310.6,  90461.6
1400, 180.599,  88459.2,  90614.4, 180.843,  -88459.8,  90615
1500, 160.795,  88269.7,  90419.3, 161.073,  -88270.3,  90419.9
1600, 178.53,  88433.4,  90588.1, 178.724,  -88433.9,  90588.6
1700, 163.961,  88296.1,  90446.7, 164.221,  -88296.6,  90447.2
1800, 180.626,  88437.2,  90592, 180.829,  -88437.6,  90592.5
1900, 162.357,  88292.6,  90442.9, 162.636,  -88293.3,  90443.6
2000, 178.385,  88416.9,  90571.3, 178.583,  -88417.3,  90571.7
2100, 163.631,  88304.5,  90455.3, 163.895,  -88305.2,  90455.9
2200, 179.37,  88417.2,  90571.6, 179.571,  -88417.6,  90572
2300, 163.872,  88311,  90461.8, 164.14,  -88311.6,  90462.4
2400, 177.774,  88404.1,  90558.1, 177.979,  -88404.6,  90558.6
2500, 164.496,  88317.1,  90468.2, 164.76,  -88317.7,  90468.8
2600, 177.799,  88400.9,  90554.9, 177.998,  -88401.4,  90555.4
2700, 165.258,  88324.7,  90476, 165.527,  -88325.3,  90476.6
2800, 176.707,  88392.7,  90546.4, 176.909,  -88393.1,  90546.8
2900, 165.798,  88329.4,  90480.8, 166.064,  -88330,  90481.4
3000, 176.263,  88388.1,  90541.7, 176.468,  -88388.6,  90542.1
3100, 166.615,  88335.8,  90487.3, 166.877,  -88336.4,  90488
