    Fx_top , Fy_top , mag_top , Fx_bottom , Fy_bottom , mag_bottom 
100, 561.063,  76705.6,  78739.7, 559.801,  -76712.6,  78746.8
200, 280.571,  76116.8,  78102.2, 279.115,  -76126.6,  78112.1
300, -122.136,  74799.5,  76753.2, -123.085,  -74810.7,  76764.5
400, -23.9853,  73184.7,  75056.8, -25.7759,  -73194.3,  75066.5
500, 261.29,  75999.7,  77993.3, 259.513,  -76007.4,  78000.9
600, 127.26,  75718.4,  77689.6, 125.901,  -75727.5,  77698.6
700, -254.827,  76566,  78566.6, -256.09,  -76578.5,  78579.2
800, -20.3695,  78405.3,  80396, -21.6406,  -78415.7,  80406.4
900, 206.637,  76909.4,  78910.2, 205.433,  -76917.8,  78918.6
1000, 77.2706,  75300.1,  77270.8, 75.4648,  -75308.5,  77279.1
1100, 109.817,  75289.6,  77255.7, 108.447,  -75303.1,  77269.3
1200, -137.73,  73308.7,  75242.4, -139.042,  -73317.2,  75250.9
1300, 36.0836,  76049.8,  78009.9, 34.425,  -76057.8,  78017.9
1400, 58.1675,  75038.9,  76999.7, 57.885,  -75040,  77000.7
1500, -37.1453,  76026.5,  77995.6, -38.0735,  -76036.2,  78005.3
1600, 34.6117,  75495.1,  77462.6, 32.5545,  -75507.8,  77475.4
1700, -72.3913,  75280.7,  77234.6, -73.8425,  -75290.3,  77244.3
1800, 166.363,  74999.2,  76957, 164.881,  -75009.2,  76966.9
1900, -171.159,  74746.5,  76687, -171.837,  -74758.2,  76698.6
2000, 153.531,  74349.3,  76296.4, 152.295,  -74359,  76306.1
2100, -231.126,  74585.7,  76523.9, -232.559,  -74594.9,  76533.1
2200, 280.572,  75516,  77496.8, 278.937,  -75524.8,  77505.7
2300, -159.299,  75076.1,  77030.4, -160.688,  -75085.6,  77040
2400, 181.34,  75446,  77419.7, 180.099,  -75456.5,  77430.3
2500, -51.1153,  75116.1,  77074.1, -52.5866,  -75125.9,  77083.9
2600, 61.3842,  74919.9,  76874.3, 59.9807,  -74929.6,  76884
2700, -70.2151,  74943.3,  76900.9, -71.4138,  -74950.2,  76907.8
2800, 46.0642,  74565.5,  76508.6, 45.1829,  -74575.5,  76518.8
2900, -25.0535,  74979.1,  76943.3, -26.0574,  -74989.8,  76954.1
3000, 71.4957,  74789.4,  76736.6, 70.1748,  -74800.7,  76748
3100, -38.6313,  75280.6,  77248.3, -40.3876,  -75290.8,  77258.5
3200, 126.842,  74667.9,  76611.1, 125.574,  -74676.5,  76619.8
3300, -106.435,  74956.3,  76909.1, -107.759,  -74966.8,  76919.6
3400, 90.1452,  74339.8,  76271.2, 88.6846,  -74350.2,  76281.6
3500, -172.55,  74862.9,  76812.9, -173.717,  -74873.4,  76823.5
3600, 133.807,  74523.1,  76468.5, 132.556,  -74532.9,  76478.4
3700, -91.4458,  74931.3,  76890.1, -92.8327,  -74940.7,  76899.7
3800, 142.281,  75050.3,  77016.6, 140.867,  -75059.4,  77025.8
3900, -81.9762,  75023.8,  76983.8, -83.0564,  -75033.3,  76993.4
4000, 88.1062,  75133.7,  77099.9, 86.7051,  -75144.4,  77110.6
4100, -55.0106,  74784.7,  76736.9, -56.308,  -74794.8,  76747
4200, 30.7392,  74933.4,  76890.1, 29.3615,  -74944,  76900.8
4300, -15.2114,  74621,  76566.7, -16.2092,  -74630.6,  76576.4
4400, 37.6827,  74830.2,  76783.5, 36.3982,  -74840,  76793.3
4500, 27.8737,  74766.9,  76715.7, 26.2889,  -74776.2,  76725
4600, 39.1068,  74690.2,  76641, 37.7737,  -74700.7,  76651.6
4700, -1.49581,  74960,  76913.4, -2.76916,  -74970,  76923.3
4800, 47.7931,  74595.7,  76545.1, 46.6005,  -74605.5,  76554.9
